Sub-Saharan Africa,Namibia,Household,Offline,M,8/31/2015,897751939,10-12-2015,3604,668.27,502.54,2408445.08,1811154.16,597290.92
Europe,Iceland,Baby Food,Online,H,11/20/2010,599480426,01-09-2011,8435,255.28,159.42,2153286.8,1344707.7,808579.1
Europe,Russia,Meat,Online,L,6/22/2017,538911855,6/25/2017,4848,421.89,364.69,2045322.72,1768017.12,277305.6
Europe,Moldova ,Meat,Online,L,2/28/2012,459845054,3/20/2012,7225,421.89,364.69,3048155.25,2634885.25,413270
Europe,Malta,Cereal,Online,M,08-12-2010,626391351,9/13/2010,1975,205.7,117.11,406257.5,231292.25,174965.25
Asia,Indonesia,Meat,Online,H,8/20/2010,472974574,8/27/2010,2542,421.89,364.69,1072444.38,927041.98,145402.4
Sub-Saharan Africa,Djibouti,Household,Online,M,02-03-2011,854331052,03-03-2011,4398,668.27,502.54,2939051.46,2210170.92,728880.54
Europe,Greece,Household,Online,L,09-11-2015,895509612,9/26/2015,49,668.27,502.54,32745.23,24624.46,8120.77
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,M,1/31/2014,241871583,02-04-2014,4031,437.2,263.33,1762353.2,1061483.23,700869.97
Sub-Saharan Africa,Nigeria,Cosmetics,Online,C,11/21/2015,409090793,12-07-2015,7911,437.2,263.33,3458689.2,2083203.63,1375485.57
Sub-Saharan Africa,Senegal,Fruits,Offline,M,8/29/2016,733153569,10-05-2016,5288,9.33,6.92,49337.04,36592.96,12744.08
Middle East and North Africa,Afghanistan,Cosmetics,Offline,L,10/21/2016,620358741,12-01-2016,6792,437.2,263.33,2969462.4,1788537.36,1180925.04
Asia,India,Vegetables,Online,C,3/21/2010,897317636,04-05-2010,5084,154.06,90.93,783241.04,462288.12,320952.92
Middle East and North Africa,Lebanon,Vegetables,Online,L,10/15/2010,660954082,11/19/2010,9855,154.06,90.93,1518261.3,896115.15,622146.15
Middle East and North Africa,Turkey,Office Supplies,Online,L,10-04-2010,428504407,11/13/2010,2831,651.21,524.96,1843575.51,1486161.76,357413.75
Middle East and North Africa,Iraq,Cosmetics,Offline,M,10/14/2014,787517440,10/19/2014,2766,437.2,263.33,1209295.2,728370.78,480924.42
Sub-Saharan Africa,Rwanda,Personal Care,Offline,M,6/15/2013,145854508,07-08-2013,445,81.73,56.67,36369.85,25218.15,11151.7